,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
777,2021-12-02,366.35,371.0,352.22,361.53,361.53,73114800,73114800,-4.82,-1.32,361.58,"December 02, 21",-0.0132
778,2021-12-01,386.9,390.95,363.59,365.0,365.0,68450400,68450400,-21.9,-5.66,373.18,"December 01, 21",-0.0566
779,2021-11-30,381.46,389.33,372.67,381.59,381.59,81276000,81276000,0.13,0.03407959,381.2,"November 30, 21",0.0003407959
780,2021-11-29,367.0,380.89,366.73,379.0,379.0,58393500,58393500,12.0,3.27,375.54,"November 29, 21",0.0327
781,2021-11-26,366.49,369.59,360.33,360.64,360.64,35042700,35042700,-5.85,-1.6,363.52,"November 26, 21",-0.016
782,2021-11-24,360.13,377.59,354.0,372.0,372.0,67680600,67680600,11.87,3.3,367.86,"November 24, 21",0.033
783,2021-11-23,389.17,393.5,354.23,369.68,369.68,108515100,108515100,-19.49,-5.01,372.47,"November 23, 21",-0.0501
784,2021-11-22,387.44,400.65,377.48,385.62,385.62,99217500,99217500,-1.82,-0.46975,387.92,"November 22, 21",-0.0046975
785,2021-11-19,366.29,379.57,364.23,379.02,379.02,64926900,64926900,12.73,3.48,374.28,"November 19, 21",0.0348
786,2021-11-18,368.85,370.67,358.34,365.46,365.46,62696700,62696700,-3.39,-0.91907,364.82,"November 18, 21",-0.0091907
787,2021-11-17,354.5,373.21,351.83,363.0,363.0,94336200,94336200,8.5,2.4,362.68,"November 17, 21",0.024
788,2021-11-16,334.44,352.4,334.06,351.58,351.58,79627200,79627200,17.14,5.12,346.01,"November 16, 21",0.0512
789,2021-11-15,339.21,343.99,326.2,337.8,337.8,104326800,104326800,-1.41,-0.41567,336.0,"November 15, 21",-0.0041567
790,2021-11-12,349.17,351.5,339.73,344.47,344.47,76719300,76719300,-4.7,-1.35,345.24,"November 12, 21",-0.0135
791,2021-11-11,367.59,368.32,351.56,354.5,354.5,67189800,67189800,-13.09,-3.56,358.13,"November 11, 21",-0.0356
792,2021-11-10,336.8,359.37,329.1,355.98,355.98,128408100,128408100,19.18,5.69,348.15,"November 10, 21",0.0569
793,2021-11-09,391.2,391.5,337.17,341.17,341.17,177317400,177317400,-50.03,-12.79,356.61,"November 09, 21",-0.1279
794,2021-11-08,383.26,399.0,377.67,387.65,387.65,100337100,100337100,4.39,1.15,388.1,"November 08, 21",0.0115
795,2021-11-05,409.33,413.29,402.67,407.36,407.36,64886400,64886400,-1.97,-0.48127,407.77,"November 05, 21",-0.0048127
796,2021-11-04,411.47,414.5,405.67,409.97,409.97,76192200,76192200,-1.5,-0.36455,410.04,"November 04, 21",-0.0036455
797,2021-11-03,392.44,405.13,384.21,404.62,404.62,103885500,103885500,12.18,3.1,397.99,"November 03, 21",0.031
798,2021-11-02,386.45,402.86,382.0,390.67,390.67,128213400,128213400,4.22,1.09,391.84,"November 02, 21",0.0109
799,2021-11-01,381.67,403.25,372.89,402.86,402.86,168146100,168146100,21.19,5.55,393.0,"November 01, 21",0.0555
800,2021-10-29,360.62,371.74,357.74,371.33,371.33,89755200,89755200,10.71,2.97,366.94,"October 29, 21",0.0297
801,2021-10-28,356.1,360.33,351.4,359.01,359.01,81639600,81639600,2.91,0.81719,356.92,"October 28, 21",0.0081719
802,2021-10-27,346.55,356.96,343.59,345.95,345.95,115579500,115579500,-0.6,-0.17314,348.84,"October 27, 21",-0.0017314
803,2021-10-26,341.56,364.98,333.81,339.48,339.48,187245000,187245000,-2.08,-0.60897,346.09,"October 26, 21",-0.0060897
804,2021-10-25,316.84,348.34,314.73,341.62,341.62,188556300,188556300,24.78,7.82,334.9,"October 25, 21",0.0782
805,2021-10-22,298.5,303.33,296.99,303.23,303.23,68642400,68642400,4.73,1.58,301.18,"October 22, 21",0.0158
806,2021-10-21,285.33,300.0,285.17,298.0,298.0,94444500,94444500,12.67,4.44,294.39,"October 21, 21",0.0444
807,2021-10-20,288.45,289.83,285.79,288.6,288.6,42096300,42096300,0.15,0.05200208,288.07,"October 20, 21",0.0005200208
808,2021-10-19,292.51,292.65,287.5,288.09,288.09,52143300,52143300,-4.42,-1.51,289.41,"October 19, 21",-0.0151
809,2021-10-18,283.93,291.75,283.82,290.04,290.04,72621600,72621600,6.11,2.15,288.54,"October 18, 21",0.0215
810,2021-10-15,274.58,281.07,274.12,281.01,281.01,56773800,56773800,6.43,2.34,278.73,"October 15, 21",0.0234
811,2021-10-14,271.83,273.42,271.12,272.77,272.77,36741600,36741600,0.94,0.3458,272.44,"October 14, 21",0.003458
812,2021-10-13,270.16,271.8,268.59,270.36,270.36,42360300,42360300,0.2,0.0740302,270.25,"October 13, 21",0.000740302
813,2021-10-12,266.98,270.77,265.52,268.57,268.57,66060000,66060000,1.59,0.59555,268.29,"October 12, 21",0.0059555
814,2021-10-11,262.55,267.08,261.83,263.98,263.98,42600900,42600900,1.43,0.54466,264.3,"October 11, 21",0.0054466
815,2021-10-08,265.4,265.46,260.3,261.83,261.83,50215800,50215800,-3.57,-1.35,262.53,"October 08, 21",-0.0135
816,2021-10-07,261.82,268.33,261.13,264.54,264.54,57587400,57587400,2.72,1.04,264.67,"October 07, 21",0.0104
817,2021-10-06,258.73,262.22,257.74,260.92,260.92,43898400,43898400,2.19,0.84644,260.29,"October 06, 21",0.0084644
818,2021-10-05,261.6,265.77,258.07,260.2,260.2,55297800,55297800,-1.4,-0.53517,261.34,"October 05, 21",-0.0053517
819,2021-10-04,265.5,268.99,258.71,260.51,260.51,91449900,91449900,-4.99,-1.88,262.74,"October 04, 21",-0.0188
820,2021-10-01,259.47,260.26,254.53,258.41,258.41,51094200,51094200,-1.06,-0.40853,257.73,"October 01, 21",-0.0040853
821,2021-09-30,260.33,263.04,258.33,258.49,258.49,53868000,53868000,-1.84,-0.7068,259.96,"September 30, 21",-0.007068
822,2021-09-29,259.93,264.5,256.89,260.44,260.44,62828700,62828700,0.51,0.19621,260.61,"September 29, 21",0.0019621
823,2021-09-28,262.4,265.21,255.39,259.19,259.19,76144200,76144200,-3.21,-1.22,259.93,"September 28, 21",-0.0122
824,2021-09-27,257.71,266.33,256.44,263.79,263.79,84212100,84212100,6.08,2.36,262.19,"September 27, 21",0.0236
