,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
361,2023-08-01,157.43,158.0,156.15,157.18,152.39,6855682,6855682,-0.25,-0.1588,157.19,"August 01, 23",-0.001588
362,2023-07-31,157.18,159.38,157.15,157.96,153.15,8894353,8894353,0.78,0.49625,157.9175,"July 31, 23",0.0049625
363,2023-07-28,157.28,157.6,156.44,156.91,152.13,9105974,9105974,-0.37,-0.23525,157.0575,"July 28, 23",-0.0023525
364,2023-07-27,157.77,158.78,155.55,156.02,151.27,10778406,10778406,-1.75,-1.11,157.03,"July 27, 23",-0.0111
365,2023-07-26,156.71,158.25,156.28,157.76,152.95,8728600,8728600,1.05,0.67003,157.25,"July 26, 23",0.0067003
366,2023-07-25,157.3,157.72,155.96,156.82,152.04,9944700,9944700,-0.48,-0.30515,156.95,"July 25, 23",-0.0030515
367,2023-07-24,154.97,158.79,154.73,158.0,153.18,14381425,14381425,3.03,1.96,156.6225,"July 24, 23",0.0196
368,2023-07-21,155.8,156.14,154.69,154.95,150.23,10636378,10636378,-0.85,-0.54557,155.395,"July 21, 23",-0.0054557
369,2023-07-20,154.53,156.59,154.41,156.15,151.39,9935907,9935907,1.62,1.05,155.42,"July 20, 23",0.0105
370,2023-07-19,152.75,155.21,152.22,154.25,149.55,12510000,12510000,1.5,0.982,153.6075,"July 19, 23",0.00982
371,2023-07-18,153.38,154.4,152.82,153.66,148.98,13491725,13491725,0.28,0.18255,153.565,"July 18, 23",0.0018255
372,2023-07-17,150.35,153.75,150.35,153.38,148.71,17262400,17262400,3.03,2.02,151.9575,"July 17, 23",0.0202
373,2023-07-14,151.55,152.89,148.41,149.77,145.21,27028429,27028429,-1.78,-1.17,150.655,"July 14, 23",-0.0117
374,2023-07-13,148.7,149.37,147.75,148.87,144.33,11234925,11234925,0.17,0.11432,148.6725,"July 13, 23",0.0011432
375,2023-07-12,147.45,149.87,147.0,148.15,143.63,11323228,11323228,0.7,0.47474,148.1175,"July 12, 23",0.0047474
376,2023-07-11,146.34,147.82,145.71,147.42,142.93,11265600,11265600,1.08,0.73801,146.8225,"July 11, 23",0.0073801
377,2023-07-10,144.5,145.99,144.5,145.15,140.73,9100100,9100100,0.65,0.44983,145.035,"July 10, 23",0.0044983
378,2023-07-07,143.91,145.84,143.0,144.34,139.94,8981456,8981456,0.43,0.2988,144.2725,"July 07, 23",0.002988
379,2023-07-06,143.02,143.39,141.44,143.21,138.85,9714100,9714100,0.19,0.13285,142.765,"July 06, 23",0.0013285
380,2023-07-05,144.94,145.43,144.36,144.64,140.23,8935519,8935519,-0.3,-0.20698,144.8425,"July 05, 23",-0.0020698
381,2023-07-03,146.19,147.48,146.0,146.61,141.17,8021622,8021622,0.42,0.2873,146.57,"July 03, 23",0.002873
382,2023-06-30,144.6,146.0,143.66,145.44,140.05,14212816,14212816,0.84,0.58091,144.925,"June 30, 23",0.0058091
383,2023-06-29,140.07,143.56,139.85,143.43,138.11,15423230,15423230,3.36,2.4,141.7275,"June 29, 23",0.024
384,2023-06-28,139.16,139.21,137.96,138.59,133.45,7558644,7558644,-0.57,-0.4096,138.73,"June 28, 23",-0.004096
